last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,r_total_stolen_base,b_game,b_hit_by_pitch,r_run,r_stolen_base_2b,r_stolen_base_3b,r_stolen_base_pct,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed,
Bautista, Jose,430832,2017,37,587,686,119,69,27,0,23,170,84,24.8,12.2,.203,.366,.308,.674,65,6,157,8,92,5,1,,.207,.373,.295,.302,.313,.166,88.4,16.7,29.5,6.4,38.7,27.1,21.2,13,25.5,
Jones, Adam,430945,2017,32,597,635,170,115,28,1,26,113,27,17.8,4.3,.285,.466,.321,.787,73,2,147,7,82,1,1,,.261,.435,.334,.315,.300,.174,86.9,11.9,33.6,6.4,46.1,21.3,24.8,7.8,27.0,
Granderson, Curtis,434158,2017,36,449,527,95,42,24,3,26,123,71,23.3,13.5,.212,.452,.323,.775,64,6,147,4,74,5,1,,.223,.448,.330,.337,.333,.225,87.7,20.1,33.1,10.9,34.7,30.7,21.9,12.8,26.9,
Ramirez, Hanley,434670,2017,34,496,553,120,73,24,0,23,116,51,21.0,9.2,.242,.429,.320,.750,62,1,133,6,58,1,0,,.263,.479,.318,.346,.339,.216,88.5,12.6,35.3,9.5,41.8,24.5,25.8,7.9,26.1,
Morales, Kendrys,434778,2017,34,557,608,139,86,25,0,28,132,43,21.7,7.1,.250,.445,.308,.753,85,0,150,5,67,0,0,,.270,.509,.320,.353,.326,.239,91.1,9.5,31.1,10,50,24.1,21.5,4.4,23.4,
Kinsler, Ian,435079,2017,35,551,613,130,80,25,3,22,86,55,14.0,9.0,.236,.412,.313,.725,52,14,139,7,90,12,2,,.256,.427,.313,.327,.331,.171,86.3,19.5,37.2,4.9,33.5,28.2,26.2,12,26.9,
Cruz Jr., Nelson,443558,2017,37,556,645,160,93,28,0,39,140,70,21.7,10.9,.288,.549,.375,.924,119,1,155,12,91,1,0,,.287,.590,.385,.402,.377,.304,93.2,12.4,34.5,14.2,41.1,27.9,25.1,5.9,25.5,
Trumbo, Mark,444432,2017,31,559,603,131,86,22,0,23,149,42,24.7,7.0,.234,.397,.289,.686,65,1,146,1,79,1,0,,.235,.398,.295,.298,.290,.162,89.7,12.6,26.5,7.1,42.6,22.9,22.1,12.4,26.5,
Peralta, David,444482,2017,30,525,577,154,106,31,3,14,94,43,16.3,7.5,.293,.444,.352,.796,57,8,140,6,82,5,3,,.261,.395,.342,.314,.323,.134,88,4.2,27,4.1,53.9,16.8,23.7,5.5,27.4,
Escobar, Alcides,444876,2017,31,599,629,150,103,36,5,6,102,15,16.2,2.4,.250,.357,.269,.626,54,4,162,4,71,4,0,,.250,.350,.269,.269,.272,.100,84,14,34.1,2.2,42.3,23,26.6,8.1,27.6,
